ID	adj.P.Val	P.Value	t	B	logFC	GENE_SYMBOL	ENSEMBL_ID
A_23_P86710	0.927	0.000202	9.179285	0.8858	2.25e-01	FRMPD2	ENST00000491130
A_24_P339858	0.927	0.000203	9.1733761	0.8838	1.10e-01	C21orf90	ENST00000330490
A_23_P167367	0.927	0.000394	8.0206382	0.4544	1.22e-01	PITX2	
A_33_P3302295	0.927	0.000398	-8.0016746	0.4465	-1.30e-01	FOXC2	ENST00000320354
A_23_P204847	0.927	0.00042	7.913703	0.4093	1.51e-01	LCP1	ENST00000398576
A_33_P3381996	0.927	0.000452	-7.7983732	0.3596	-2.18e-01		ENST00000525043
A_23_P159237	0.927	0.000508	7.6116879	0.2765	1.16e-01	GPR20	ENST00000377741
A_24_P498854	0.927	0.000638	-7.2620293	0.1121	-1.19e-01	LOC284998	ENST00000425879
A_24_P13406	0.927	0.000641	7.2545131	0.1085	1.52e-01	C12orf40	ENST00000398716
A_24_P288890	0.927	0.000652	7.2297034	0.0963	1.27e-01	FAM101A	ENST00000324038
A_23_P53763	0.927	0.00069	7.1448949	0.0543	2.16e-01	KIAA0226L	ENST00000534925
A_23_P426021	0.927	0.000945	6.6897424	-0.184	1.12e-01	SEL1L3	ENST00000513416
A_23_P29110	0.927	0.000956	6.6747921	-0.1922	1.93e-01	CCT8L2	ENST00000359963
A_23_P415401	0.927	0.000959	6.6690234	-0.1954	9.19e-02	KLF9	ENST00000377126
A_21_P0001634	0.927	0.001011	-6.5964941	-0.2357	-2.80e-01	XLOC_001228	
A_32_P199462	0.927	0.001028	6.5731161	-0.2488	8.67e-02	C2orf80	ENST00000341287
A_33_P3209646	0.927	0.001055	6.5365683	-0.2695	1.16e-01	WDFY2	
A_33_P3366175	0.927	0.001064	6.5249332	-0.2761	1.96e-01	LOC100130298	ENST00000525556
A_23_P102172	0.927	0.001109	-6.4685492	-0.3083	-1.05e-01	CPO	ENST00000272852
A_23_P153320	0.927	0.001119	-6.4558085	-0.3156	-1.31e-01	ICAM1	ENST00000264832
A_23_P9485	0.927	0.001121	-6.4532406	-0.3171	-1.05e-01	ORM2	ENST00000412657
A_23_P101960	0.927	0.001128	-6.4447742	-0.322	-9.54e-02	ZFP36L2	ENST00000282388
A_33_P3311373	0.927	0.001177	-6.3878399	-0.3551	-2.56e-01	LOC401980	
